first,second,acc
2000,5000,0.6204081632653061
2000,2000,0.6112244897959184
2000,1000,0.6204081632653061
2000,500,0.6255102040816326
2000,100,0.6112244897959184
2000,50,0.5948979591836735
2000,10,0.5591836734693878
1000,5000,0.6122448979591837
1000,2000,0.6030612244897959
1000,1000,0.613265306122449
1000,500,0.6051020408163266
1000,100,0.6030612244897959
1000,50,0.6163265306122448
1000,10,0.5469387755102041
500,5000,0.6173469387755102
500,2000,0.6244897959183674
500,1000,0.6173469387755102
500,500,0.6153061224489796
500,100,0.6071428571428571
500,50,0.5836734693877551
500,10,0.560204081632653
100,5000,0.6091836734693877
100,2000,0.6061224489795919
100,1000,0.6051020408163266
100,500,0.6163265306122448
100,100,0.6010204081632653
100,50,0.5959183673469388
100,10,0.539795918367347
50,5000,0.6040816326530613
50,2000,0.5969387755102041
50,1000,0.5918367346938775
50,500,0.610204081632653
50,100,0.5969387755102041
50,50,0.5785714285714286
50,10,0.4969387755102041
10,5000,0.5959183673469388
10,2000,0.6061224489795919
10,1000,0.6091836734693877
10,500,0.6051020408163266
10,100,0.5561224489795918
10,50,0.5663265306122449
10,10,0.5112244897959184
